gene_name,GeneOntologyIDs,Term,Annotated,Significant,Expected,Fisher,ontology,prop.sig.genes,stressor
LOC111109514,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111109659,GO:0030433,ubiquitin-dependent ERAD pathway,48,8,3.11,0.01131,Biological Processes,0.166666666666667,ALL
LOC111109659,GO:0030970,"retrograde protein transport, ER to cytosol",6,3,0.39,0.00469,Biological Processes,0.5,ALL
LOC111110034,GO:0060271,cilium assembly,165,29,10.7,0.00076,Biological Processes,0.175757575757576,ALL
LOC111110549,GO:0000209,protein polyubiquitination,544,72,35.28,7.7e-09,Biological Processes,0.132352941176471,ALL
LOC111110549,GO:0017148,negative regulation of translation,250,50,16.21,1.8e-12,Biological Processes,0.2,ALL
LOC111110549,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111110733,GO:0000209,protein polyubiquitination,544,72,35.28,7.7e-09,Biological Processes,0.132352941176471,ALL
LOC111110733,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111111107,GO:0007411,axon guidance,86,14,5.58,0.01048,Biological Processes,0.162790697674419,ALL
LOC111111223,GO:0045732,positive regulation of protein catabolic process,46,6,2.98,0.0384,Biological Processes,0.130434782608696,ALL
LOC111111223,GO:0090090,negative regulation of canonical Wnt signaling pathway,12,4,0.78,0.00571,Biological Processes,0.333333333333333,ALL
LOC111111679,GO:0000209,protein polyubiquitination,544,72,35.28,7.7e-09,Biological Processes,0.132352941176471,ALL
LOC111111679,GO:0017148,negative regulation of translation,250,50,16.21,1.8e-12,Biological Processes,0.2,ALL
LOC111111679,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111111685,GO:0000209,protein polyubiquitination,544,72,35.28,7.7e-09,Biological Processes,0.132352941176471,ALL
LOC111111685,GO:0017148,negative regulation of translation,250,50,16.21,1.8e-12,Biological Processes,0.2,ALL
LOC111111685,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111111687,GO:0000209,protein polyubiquitination,544,72,35.28,7.7e-09,Biological Processes,0.132352941176471,ALL
LOC111111687,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111111836,GO:0000209,protein polyubiquitination,544,72,35.28,7.7e-09,Biological Processes,0.132352941176471,ALL
LOC111111836,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111112113,GO:0003341,cilium movement,51,15,3.31,0.00345,Biological Processes,0.294117647058824,ALL
LOC111112700,GO:0007032,endosome organization,10,3,0.65,0.02312,Biological Processes,0.3,ALL
LOC111112733,GO:0048024,"regulation of mRNA splicing, via spliceosome",26,6,1.69,0.023,Biological Processes,0.230769230769231,ALL
LOC111113075,GO:0030431,sleep,19,4,1.23,0.03115,Biological Processes,0.210526315789474,ALL
LOC111113075,GO:0032222,"regulation of synaptic transmission, cholinergic",19,4,1.23,0.03115,Biological Processes,0.210526315789474,ALL
LOC111113075,GO:1903818,positive regulation of voltage-gated potassium channel activity,19,4,1.23,0.03115,Biological Processes,0.210526315789474,ALL
LOC111113447,GO:0007018,microtubule-based movement,204,32,13.23,0.00761,Biological Processes,0.156862745098039,ALL
LOC111113970,GO:0003341,cilium movement,51,15,3.31,0.00345,Biological Processes,0.294117647058824,ALL
LOC111114521,GO:0000209,protein polyubiquitination,544,72,35.28,7.7e-09,Biological Processes,0.132352941176471,ALL
LOC111114521,GO:0017148,negative regulation of translation,250,50,16.21,1.8e-12,Biological Processes,0.2,ALL
LOC111114521,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111114778,GO:0000028,ribosomal small subunit assembly,13,3,0.84,0.04767,Biological Processes,0.230769230769231,ALL
LOC111114778,GO:0006412,translation,636,93,41.24,0.00196,Biological Processes,0.14622641509434,ALL
LOC111114904,GO:0000209,protein polyubiquitination,544,72,35.28,7.7e-09,Biological Processes,0.132352941176471,ALL
LOC111114904,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111115508,GO:0007018,microtubule-based movement,204,32,13.23,0.00761,Biological Processes,0.156862745098039,ALL
LOC111116264,GO:0045732,positive regulation of protein catabolic process,46,6,2.98,0.0384,Biological Processes,0.130434782608696,ALL
LOC111116587,GO:0000209,protein polyubiquitination,544,72,35.28,7.7e-09,Biological Processes,0.132352941176471,ALL
LOC111116587,GO:0017148,negative regulation of translation,250,50,16.21,1.8e-12,Biological Processes,0.2,ALL
LOC111116587,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111117607,GO:0050684,regulation of mRNA processing,32,9,2.08,0.02284,Biological Processes,0.28125,ALL
LOC111117740,GO:0000209,protein polyubiquitination,544,72,35.28,7.7e-09,Biological Processes,0.132352941176471,ALL
LOC111117740,GO:0017148,negative regulation of translation,250,50,16.21,1.8e-12,Biological Processes,0.2,ALL
LOC111117740,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111117742,GO:0000209,protein polyubiquitination,544,72,35.28,7.7e-09,Biological Processes,0.132352941176471,ALL
LOC111117742,GO:0017148,negative regulation of translation,250,50,16.21,1.8e-12,Biological Processes,0.2,ALL
LOC111117742,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111117745,GO:0000209,protein polyubiquitination,544,72,35.28,7.7e-09,Biological Processes,0.132352941176471,ALL
LOC111117745,GO:0017148,negative regulation of translation,250,50,16.21,1.8e-12,Biological Processes,0.2,ALL
LOC111117745,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111117748,GO:0000209,protein polyubiquitination,544,72,35.28,7.7e-09,Biological Processes,0.132352941176471,ALL
LOC111117748,GO:0017148,negative regulation of translation,250,50,16.21,1.8e-12,Biological Processes,0.2,ALL
LOC111117748,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111117751,GO:0000209,protein polyubiquitination,544,72,35.28,7.7e-09,Biological Processes,0.132352941176471,ALL
LOC111117751,GO:0017148,negative regulation of translation,250,50,16.21,1.8e-12,Biological Processes,0.2,ALL
LOC111117751,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111117762,GO:0000209,protein polyubiquitination,544,72,35.28,7.7e-09,Biological Processes,0.132352941176471,ALL
LOC111117762,GO:0017148,negative regulation of translation,250,50,16.21,1.8e-12,Biological Processes,0.2,ALL
LOC111117762,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,655,87,42.47,5.7e-11,Biological Processes,0.132824427480916,ALL
LOC111117904,GO:0007411,axon guidance,86,14,5.58,0.01048,Biological Processes,0.162790697674419,ALL
LOC111117952,GO:0030036,actin cytoskeleton organization,204,25,13.23,0.01883,Biological Processes,0.122549019607843,ALL
LOC111118011,GO:0006511,ubiquitin-dependent protein catabolic process,750,100,48.63,0.0294,Biological Processes,0.133333333333333,ALL
LOC111118348,GO:0006412,translation,636,93,41.24,0.00196,Biological Processes,0.14622641509434,ALL
LOC111118435,GO:0008045,motor neuron axon guidance,5,3,0.32,0.00246,Biological Processes,0.6,ALL
LOC111118435,GO:0030865,cortical cytoskeleton organization,17,4,1.1,0.00419,Biological Processes,0.235294117647059,ALL
LOC111118666,GO:0036444,calcium import into the mitochondrion,4,3,0.26,0.00103,Biological Processes,0.75,ALL
LOC111118666,GO:0051560,mitochondrial calcium ion homeostasis,5,3,0.32,0.00246,Biological Processes,0.6,ALL
LOC111118797,GO:0060271,cilium assembly,165,29,10.7,0.00076,Biological Processes,0.175757575757576,ALL
LOC111118797,GO:0060294,cilium movement involved in cell motility,16,6,1.04,0.00196,Biological Processes,0.375,ALL
LOC111118809,GO:0050684,regulation of mRNA processing,32,9,2.08,0.02284,Biological Processes,0.28125,ALL
LOC111119153,GO:0007266,Rho protein signal transduction,18,4,1.17,0.03842,Biological Processes,0.222222222222222,ALL
LOC111119215,GO:0060271,cilium assembly,165,29,10.7,0.00076,Biological Processes,0.175757575757576,ALL
LOC111119234,GO:0030036,actin cytoskeleton organization,204,25,13.23,0.01883,Biological Processes,0.122549019607843,ALL
LOC111119413,GO:0030431,sleep,19,4,1.23,0.03115,Biological Processes,0.210526315789474,ALL
LOC111119413,GO:0032222,"regulation of synaptic transmission, cholinergic",19,4,1.23,0.03115,Biological Processes,0.210526315789474,ALL
LOC111119413,GO:1903818,positive regulation of voltage-gated potassium channel activity,19,4,1.23,0.03115,Biological Processes,0.210526315789474,ALL
LOC111119636,GO:0036444,calcium import into the mitochondrion,4,3,0.26,0.00103,Biological Processes,0.75,ALL
LOC111119636,GO:0051560,mitochondrial calcium ion homeostasis,5,3,0.32,0.00246,Biological Processes,0.6,ALL
LOC111119660,GO:0090090,negative regulation of canonical Wnt signaling pathway,12,4,0.78,0.00571,Biological Processes,0.333333333333333,ALL
LOC111119660,GO:1904491,protein localization to ciliary transition zone,4,2,0.26,0.02308,Biological Processes,0.5,ALL
LOC111119662,GO:0050821,protein stabilization,11,4,0.71,0.00401,Biological Processes,0.363636363636364,ALL
LOC111119669,GO:0007266,Rho protein signal transduction,18,4,1.17,0.03842,Biological Processes,0.222222222222222,ALL
